LEASE TYPE,REGION,TRANSACTION STATUS,OPERATING SEGMENT,LEASE CITY,ST,STREET ADDRESS,PROPERTY TYPE,SF,LEASE EXP,ANNUAL GROSS RENT ($US),CRESA NOTES,LAT,LNG
Direct Lease,West,Inactive,Forensics,Los Angeles,CA,13900 Alton Pkwy (Irvine),Flex,6282,46965,155205,,33.68,-117.79
Direct Lease,West,Active,Forensics,Phoenix,AZ,21002 N 19th Ave,Flex,8746,46387,129812,Finalized terms for 6K SF in current building — new AGR $137K over 5-year term,33.66,-112.1
Direct Lease,West,Inactive,Forensics,Seattle,WA,16932 Woodinville Rd (Woodinville),Flex,4328,48091,128215,,47.75,-122.15
Direct Lease,West,Inactive,Life Sciences,Chatsworth,CA,9301 Oakdale,Office,2590,46783,78873,,34.26,-118.6
Direct Lease,West,Active,Forensics,Kansas City,KS,14801 W 95th (Lenexa),Flex,3658,46538,66606,Likely relo — confirming SF requirement · Paul Schneider & Jerry Benoit,38.96,-94.73
Direct Lease,West,Inactive,Forensics,Minneapolis,MN,423 W Travelers Trail (Burnsville),Flex,3946,47087,64968,,44.77,-93.28
Direct Lease,West,Active,Forensics,Concord,CA,5040 Commercial Circle,Flex,3200,46691,63460,Kick off 9/1/26,37.97,-122.03
Direct Lease,West,Inactive,Forensics,Denver,CO,14 Inverness Dr E (Englewood),Flex,2164,47726,57086,,39.62,-104.88
Direct Lease,West,Active,Forensics,St. Louis,MO,231 Millwell Dr (Maryland Heights),Flex,4400,46599,49754,Likely renew · Paul Schneider & Jerry Benoit,38.72,-90.46
Direct Lease,West,Active,Forensics,Salt Lake City,UT,1752 W 1180 (Woods Cross),Flex,3018,46568,43175,Likely renew · John Bittner & Jerry Benoit,40.87,-111.9
Direct Lease,West,Inactive,Forensics,Las Vegas,NV,6221 Dean Martin Dr,Flex,2051,47542,37566,,36.06,-115.18
Direct Lease,Southeast,Inactive,Forensics,Ft Lauderdale,FL,1225 Broken Sound Pkwy (Boca Raton),Flex,8100,47573,223560,,26.37,-80.12
Direct Lease,Southeast,Active,Forensics,Tampa,FL,8010 Woodland,Flex,11280,47057,194438,Rimkus confirming direction internally — put on market for sublease?,27.97,-82.44
